year,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
1998,0.027243589743589747,0.012108262108262111,0.013532763532763534,0.00676638176638177,0.20192307692307693,0.006410256410256412,0.10950854700854701,0.021189458689458686,0.017094017094017092,0.006410256410256412,0.007122507122507125,0.007300569800569802,0.018518518518518517,0.01584757834757835,0.5290242165242166
1999,0.007187780772686434,0.007786762503743637,0.006888289907157832,0.011829889188379752,0.12129380053908356,0.0223120694818808,0.09553758610362383,0.023959269242288108,0.10991314764899669,0.007337526205450735,0.007936507936507938,0.010781671159029648,0.008834980533093742,0.009433962264150945,0.5489667565139262
2000,0.016030174446016024,0.021530724501021527,0.007857928650007858,0.011944051548011942,0.13594216564513592,0.022159358793022152,0.01052962439101053,0.011944051548011942,0.12352663837812351,0.005814867201005814,0.011158258683011157,0.017601760176017594,0.014458588716014454,0.016501650165016497,0.573000157158573
2001,0.01230769230769231,0.014017094017094016,0.008205128205128209,0.011623931623931627,0.2152136752136752,0.051965811965811966,0.025299145299145297,0.0076923076923076945,0.011111111111111113,0.016410256410256407,0.014700854700854702,0.012307692307692308,0.05008547008547008,0.00854700854700855,0.5405128205128206
2002,0.005492184199408534,0.0063371356147021544,0.006618786086466695,0.006618786086466694,0.14899309956344173,0.010984368398817066,0.017603154485283757,0.010280242219405716,0.011688494578228415,0.009153640332347557,0.010702717927052526,0.006477960850584425,0.02084213491057597,0.5410505562596817,0.18715673848753692
2003,0.006494423266977271,0.01524777636594663,0.007200338839474799,0.005788507694479743,0.2714951291825497,0.4701397712833546,0.023718763235916984,0.005223775236481717,0.007765071297472824,0.006917972610475789,0.006353240152477766,0.006635606381476777,0.011294649159960469,0.10842863193562052,0.04729634335733446
2004,0.007585335018963339,0.011097064194409327,0.028936648405674958,0.005618766680713584,0.28796179238657116,0.5128529287821324,0.017418176710212105,0.014889731703890996,0.008568619188088216,0.0074448658519455,0.017699115044247784,0.005618766680713585,0.012080348363534204,0.024863042562157607,0.03736479842674533
2005,0.01844532279314888,0.016835016835016835,0.00702678963548529,0.005709266578831799,0.26584687454252676,0.5532132923437272,0.008637095593617335,0.013175230566534916,0.010101010101010104,0.00892987849509589,0.022544283413848634,0.006002049480310352,0.01859171424388816,0.02078758600497731,0.02415458937198068
2006,0.010548523206751056,0.009282700421940931,0.007313642756680733,0.010126582278481013,0.2735583684950773,0.41912798874824186,0.02925457102672293,0.0279887482419128,0.01139240506329114,0.008016877637130803,0.013361462728551333,0.021659634317862164,0.10857946554149088,0.009001406469760902,0.040787623066104076
2007,0.030275913497390013,0.00656226696495153,0.009992542878448921,0.009246830723340793,0.2575689783743475,0.11036539895600297,0.010141685309470546,0.006711409395973156,0.008202833706189414,0.011782252050708427,0.010439970171513798,0.007307979120059658,0.49470544369873237,0.013870246085011185,0.012826249067859806
2008,0.006837606837606841,0.007614607614607616,0.022688422688422694,0.005594405594405596,0.2806526806526806,0.058741258741258746,0.0069930069930069965,0.01056721056721057,0.007459207459207461,0.00885780885780886,0.006060606060606062,0.007459207459207461,0.04273504273504275,0.5129759129759132,0.014763014763014764
2009,0.00768808347062054,0.009884678747940695,0.11916529379461835,0.006406736225517116,0.36280431997071205,0.09097565440234302,0.013179571663920926,0.022881200805418268,0.00970162914149735,0.010433827567270734,0.009152480322167311,0.01061687717371408,0.01757276221856123,0.28299469156141316,0.026542192934285194
2010,0.005445352003111631,0.00596395695578893,0.19590302087384937,0.00596395695578893,0.3072734344612991,0.02087384934526125,0.00855698171917542,0.009334889148191366,0.006871515622974202,0.006093608193958254,0.012187216387916507,0.011020355244392585,0.35809671982367436,0.03915467392713601,0.007260469337482175
2011,0.004392764857881137,0.015891472868217054,0.4953488372093024,0.006072351421188632,0.3058139534883721,0.019250645994832043,0.00917312661498708,0.012403100775193798,0.004909560723514212,0.006330749354005169,0.006589147286821706,0.006589147286821707,0.05749354005167958,0.04521963824289406,0.004521963824289406
2012,0.008824260502112852,0.00894854586129754,0.573328361918966,0.005592841163310964,0.2612478250062143,0.005095699726572212,0.009445687298036291,0.01317424807357693,0.005965697240865027,0.020879940343027592,0.050211285110613964,0.007084265473527221,0.016778523489932886,0.004971414367387523,0.008451404424558788
2013,0.006952965235173825,0.020858895705521466,0.4768916155419223,0.0050443081117927755,0.3138377641445125,0.006407634628493525,0.006271301976823449,0.01976823449216087,0.01186094069529652,0.01131561008861622,0.08452624403544648,0.009406952965235173,0.007770961145194275,0.006952965235173824,0.012133605998636672
2014,0.003973609236767133,0.004273504273504275,0.2653321337531865,0.003598740440845706,0.14170040485829963,0.004723346828609989,0.005922926975558555,0.41962813015444606,0.003673714200029991,0.0053981106612685575,0.09371719898035688,0.0056230319388214135,0.03343829659619133,0.002923976608187135,0.0060728744939271264
2015,0.008226781643373971,0.0063435424719992094,0.26841114084646644,0.003964714044999505,0.20477748042422442,0.003964714044999504,0.004559421151749431,0.0343938943403707,0.006244424620874221,0.005550599662999307,0.4273961740509466,0.0037664783427495308,0.011596788581623548,0.0051541282584993565,0.005649717514124295
2016,0.007469654528478059,0.006120966905280631,0.14804440294636373,0.004046062869592282,0.18445896877269422,0.004461043676729953,0.004461043676729952,0.014835563855171693,0.005083514887436456,0.007677144932046892,0.5904139433551199,0.006432202510633885,0.005187260089220875,0.005809731299927379,0.0054984956945741265
2017,0.009670416419972372,0.010459838168541546,0.09177027827116636,0.0088809946714032,0.10223011643970792,0.012433392539964479,0.009867771857114667,0.14505624629958555,0.007696862048549439,0.008091572922834026,0.4931912374185909,0.00828892835997632,0.07341622261693309,0.0076968620485494375,0.01124925991711072
2018,0.012372634643377003,0.01673944687045124,0.05943716642406599,0.00946142649199418,0.215429403202329,0.008248423095584666,0.023774866569626393,0.5152838427947598,0.011159631246967495,0.011402231926249397,0.06453178068898592,0.016496846191169336,0.01407083939835032,0.00849102377486657,0.01310043668122271
2019,0.01440329218106996,0.013631687242798354,0.01748971193415638,0.012602880658436214,0.037551440329218096,0.00977366255144033,0.022890946502057606,0.7340534979423866,0.01594650205761317,0.012345679012345677,0.039866255144032914,0.01980452674897119,0.01903292181069958,0.020061728395061724,0.010545267489711933
